Winning Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Liverpool,2,1,13,5,0,9,8,6,0,0
Newcastle,3,1,12,8,0,8,12,0,1,0
West Ham,3,1,16,7,0,9,8,4,3,0
Arsenal,2,0,20,8,3,14,9,3,1,0
Fulham,3,1,12,7,1,3,5,3,0,0
Arsenal,2,0,20,9,0,12,12,1,2,0
Ipswich,1,0,17,7,1,4,13,4,0,0
Aston Villa,2,2,8,5,0,7,11,3,2,0
Newcastle,3,1,16,5,1,8,10,4,1,0
Tottenham,1,1,11,5,0,3,9,6,1,0
Liverpool,4,2,15,7,0,8,9,3,1,0
Arsenal,4,2,17,6,0,4,7,4,0,0
Blackburn,3,0,17,13,0,2,13,2,3,0
Leeds,1,0,19,5,0,8,13,3,2,0
Leicester,2,0,10,6,0,6,5,1,0,0
Liverpool,5,2,15,8,0,0,13,2,0,0
Southampton,3,2,7,3,0,3,15,3,0,1
West Ham,2,1,17,10,1,9,9,3,2,0
Middlesbrough,3,1,16,9,1,4,21,3,3,0
Coventry,2,1,7,5,0,5,20,6,3,0
Leicester,1,0,4,2,0,5,14,1,3,0
Coventry,2,2,9,8,0,5,12,10,3,0
Leeds,2,2,16,11,0,8,20,5,0,0
Man City,2,2,8,3,1,4,24,2,2,0
Newcastle,2,1,13,6,0,8,18,3,1,0
Aston Villa,2,1,5,2,0,3,13,3,3,0
Everton,2,0,12,9,0,7,5,7,0,0
Man United,3,3,17,9,1,5,11,4,1,0
Ipswich,2,1,12,7,0,3,19,0,3,0
Leicester,2,1,7,5,0,3,17,4,1,0
Southampton,1,1,6,4,0,5,18,6,1,0
West Ham,3,2,12,10,0,6,11,6,1,0
Charlton,1,1,4,2,1,7,10,11,2,0
Ipswich,3,1,9,7,0,1,5,4,0,0
Newcastle,1,0,15,9,1,8,12,8,1,0
Middlesbrough,3,2,7,5,0,6,22,1,2,0
Man United,3,1,16,5,1,7,11,2,0,0
Liverpool,4,1,16,11,0,3,13,9,1,0
Newcastle,3,1,15,8,0,6,13,4,1,0
Ipswich,2,1,12,3,1,1,14,3,0,0
Everton,1,0,9,4,0,4,12,3,3,0
Arsenal,2,2,13,5,0,4,11,6,0,0
Man City,2,1,11,4,0,3,15,0,2,0
Man United,2,2,11,6,1,9,8,5,1,0
Leicester,1,0,3,2,0,4,14,8,2,0
Arsenal,1,1,11,8,0,8,11,4,1,0
Aston Villa,1,0,4,1,0,2,23,1,2,0
Everton,1,0,9,4,0,3,18,5,2,0
West Ham,1,1,4,3,0,2,19,4,1,0
Man United,1,1,8,4,0,11,8,6,1,0
Leicester,3,2,9,7,0,2,12,4,1,0
Sunderland,2,0,9,6,0,4,26,4,3,0
Ipswich,1,0,10,4,0,5,12,4,1,0
Sunderland,1,0,8,3,1,8,16,4,1,0
Man United,3,0,12,7,0,9,12,4,1,0
Ipswich,3,2,11,4,2,5,5,2,2,0
West Ham,3,2,14,8,0,10,10,2,2,0
Derby,1,1,3,3,0,1,13,0,1,0
Ipswich,1,1,11,6,0,5,14,3,3,0
Liverpool,1,1,9,4,1,2,11,4,0,0
Aston Villa,2,1,8,5,0,2,18,1,4,0
Man United,1,0,14,3,0,4,16,1,2,0
Sunderland,4,1,16,11,0,8,17,6,0,0
Coventry,2,0,10,5,0,2,16,5,1,0
Charlton,4,2,13,8,0,4,14,4,2,0
Bradford,2,2,8,4,0,3,14,5,3,0
Liverpool,3,2,12,6,1,4,10,4,0,0
Man United,3,0,20,11,0,9,11,7,0,0
Leeds,4,1,10,6,0,5,17,6,3,0
Sunderland,2,1,7,5,0,6,21,2,2,0
Everton,3,3,8,4,0,3,22,10,1,0
Newcastle,3,2,11,7,0,1,18,4,1,0
Leeds,2,1,7,3,0,3,10,1,0,0
Man United,1,0,13,7,0,2,13,11,0,1
Aston Villa,3,0,13,6,0,4,14,10,0,0
Arsenal,1,0,8,6,0,7,14,5,4,0
Leeds,2,2,10,3,0,4,15,7,2,0
Tottenham,1,0,11,4,0,3,10,6,0,0
West Ham,2,1,11,5,0,1,10,6,2,0
Southampton,1,0,10,5,0,6,9,6,0,0
Man City,1,0,11,3,0,5,11,2,0,0
Leeds,2,1,15,9,0,12,14,3,1,0
Southampton,1,0,6,1,0,6,15,6,1,0
Chelsea,2,2,17,6,0,0,9,0,2,0
Leeds,2,1,7,5,0,5,13,1,5,0
Sunderland,4,1,11,7,1,5,26,4,0,0
Middlesbrough,2,2,7,4,0,1,19,4,3,1
Ipswich,1,0,13,5,0,5,8,2,0,0
Aston Villa,3,2,8,7,0,2,13,6,4,0
Leeds,2,1,7,4,0,4,10,12,2,1
Everton,2,1,10,7,1,2,16,3,2,0
Ipswich,3,1,11,5,1,7,15,4,1,0
Chelsea,4,0,10,7,1,9,7,1,1,0
Coventry,3,2,15,5,0,9,19,1,2,0
Arsenal,4,4,15,8,0,3,8,5,0,0
Leeds,2,2,9,3,1,2,16,7,1,0
Middlesbrough,3,2,6,2,0,0,11,4,1,0
Man City,2,1,8,3,1,1,26,0,3,0
Tottenham,3,0,8,6,0,3,15,6,2,0
Liverpool,3,1,10,6,1,5,15,1,2,0
Ipswich,2,0,12,5,0,4,8,2,0,0
Chelsea,3,1,16,10,0,5,11,3,2,0
Charlton,1,1,4,2,0,3,14,4,0,0
Middlesbrough,3,1,15,7,0,5,11,0,1,0
Leeds,2,1,12,7,0,6,13,8,2,1
Liverpool,2,0,13,6,0,7,11,6,1,0
Arsenal,2,1,14,9,0,6,13,3,4,0
Man United,2,1,9,5,0,6,21,3,3,0
Sunderland,1,0,6,3,0,2,14,4,1,0
Liverpool,2,0,11,10,0,0,13,6,2,0
Derby,1,1,10,5,0,1,11,4,0,0
Liverpool,4,0,16,14,0,10,13,0,1,0
Chelsea,2,1,9,3,0,7,18,2,2,0
