Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Tottenham,1,0,12,5,0,6,11,6,1,0
Middlesbrough,0,0,5,1,0,6,23,3,1,0
Liverpool,1,0,18,7,0,6,11,4,2,0
Everton,1,0,5,1,2,2,11,3,1,0
Blackburn,0,0,10,4,0,10,14,1,3,0
Southampton,0,0,15,6,0,3,16,4,0,0
West Ham,0,0,5,1,0,1,23,3,3,1
Man United,3,1,10,7,0,5,16,4,1,1
Everton,0,0,14,7,1,4,17,4,2,0
Tottenham,0,0,11,5,0,5,9,1,1,0
Ipswich,0,0,8,1,0,4,17,4,1,0
Derby,0,0,9,2,0,3,17,4,2,0
Newcastle,0,0,8,5,0,7,17,5,0,0
Leicester,0,0,2,2,0,1,27,5,3,0
Leicester,0,0,9,6,0,4,11,2,2,1
West Ham,0,0,15,5,1,4,8,4,0,0
Blackburn,0,0,4,1,1,8,15,4,2,0
Leicester,0,0,8,2,0,3,13,5,0,0
Fulham,0,0,11,3,0,2,8,0,1,0
West Ham,1,1,12,5,0,7,6,0,3,1
Derby,1,1,8,6,0,2,6,2,2,0
Aston Villa,2,0,11,3,0,4,14,5,1,0
Southampton,0,0,10,3,0,7,16,1,1,1
Sunderland,0,0,15,5,0,5,16,3,2,0
Charlton,0,0,4,0,0,4,8,5,0,0
Chelsea,1,1,15,5,1,8,6,4,0,0
Bolton,2,1,9,5,0,2,16,3,3,0
Southampton,1,1,11,5,0,4,14,4,2,0
Middlesbrough,1,1,8,3,0,5,12,7,0,0
Sunderland,0,0,11,4,0,7,20,3,3,0
Derby,1,0,6,4,1,4,12,9,1,0
Aston Villa,0,0,10,2,0,8,7,0,3,0
Ipswich,1,0,7,3,0,6,17,1,2,0
Tottenham,1,0,11,4,0,3,15,1,3,0
Man United,1,0,10,3,0,1,13,1,0,0
Southampton,0,0,8,4,1,6,13,2,1,0
Newcastle,1,0,7,1,0,4,18,2,6,0
Leicester,0,0,8,4,1,4,10,2,1,0
Leeds,0,0,12,6,0,3,11,5,3,0
Derby,0,0,8,4,0,6,14,6,2,0
Charlton,0,0,7,4,1,5,16,2,1,0
Man United,1,1,2,1,0,2,19,4,3,0
Sunderland,0,0,12,5,0,3,12,1,3,0
West Ham,0,0,10,5,1,3,16,4,0,0
Southampton,0,0,10,4,0,6,13,2,1,0
Bolton,2,1,9,6,0,6,14,7,2,0
Tottenham,1,0,14,5,0,9,12,4,1,0
Bolton,0,0,6,3,0,4,24,2,4,0
Everton,0,0,5,3,0,7,25,3,4,1
Middlesbrough,0,0,4,2,0,6,10,2,2,0
Aston Villa,2,2,8,5,0,3,14,6,0,0
Derby,0,0,8,5,0,6,13,3,2,0
Derby,0,0,3,2,0,3,15,5,1,0
Blackburn,1,1,8,6,1,6,15,3,3,0
Sunderland,0,0,5,3,0,1,13,5,2,0
Fulham,0,0,12,1,0,6,15,1,2,0
Liverpool,0,0,16,8,1,6,10,6,3,0
Ipswich,1,1,14,3,0,4,10,5,1,0
Everton,2,0,8,3,0,2,13,1,1,0
Aston Villa,1,1,10,3,1,5,15,4,1,0
Southampton,1,0,6,3,0,6,10,2,1,0
Everton,0,0,8,5,0,5,15,6,4,0
Bolton,1,1,10,4,0,4,21,6,2,0
Chelsea,1,1,9,3,0,5,21,0,4,0
Leicester,0,0,3,1,0,10,6,0,2,0
Middlesbrough,0,0,5,2,0,2,12,4,1,0
Tottenham,0,0,10,6,0,13,16,4,3,0
Derby,0,0,6,3,0,1,19,1,3,1
Middlesbrough,1,1,3,2,0,1,13,4,4,0
Sunderland,0,0,10,3,1,3,4,1,1,0
Ipswich,2,2,6,4,1,4,12,5,2,0
West Ham,0,0,9,4,0,6,8,2,2,0
Everton,0,0,11,3,1,6,10,0,2,0
Blackburn,0,0,11,7,0,9,17,7,1,0
Newcastle,1,0,11,6,0,5,8,4,1,0
Liverpool,0,0,7,4,0,6,7,4,1,0
Derby,1,1,3,1,0,1,13,5,3,1
Charlton,1,0,9,6,1,2,11,3,0,1
Sunderland,0,0,6,1,0,5,16,0,1,0
Middlesbrough,1,1,8,4,0,2,18,4,2,0
Tottenham,1,0,11,6,0,5,1,0,1,0
Leeds,1,1,8,6,0,1,28,2,6,1
Leicester,0,0,5,3,0,4,11,2,2,0
Blackburn,1,0,10,4,0,3,13,2,0,0
West Ham,1,0,5,4,0,4,10,4,1,1
Derby,0,0,3,2,0,0,13,6,2,0
Leeds,0,0,6,4,0,6,22,6,2,0
Fulham,0,0,7,3,0,5,11,1,2,0
Leicester,0,0,3,0,0,3,21,1,2,0
West Ham,0,0,11,4,0,2,13,1,3,0
Tottenham,0,0,7,3,0,6,8,7,2,0
Sunderland,1,1,6,3,0,2,11,2,3,0
Bolton,2,2,10,6,0,6,9,2,0,0
Blackburn,0,0,14,2,1,8,20,1,3,0
West Ham,0,0,9,2,0,10,12,4,3,0
Blackburn,0,0,10,6,2,2,15,1,2,1
Southampton,1,1,11,4,0,4,8,3,1,0
Leicester,1,0,7,6,0,8,9,5,1,0
Fulham,1,0,10,5,0,10,14,3,2,0
Fulham,1,1,6,5,0,5,14,1,1,0
Aston Villa,0,0,4,2,0,2,9,4,0,0
